ISO_639_1,ISO_639_2_B,ISO_639_2_T,ISO_639_3,Nome_Inglese,Nome_Italiano
aa,aar,aar,aar,Afar,Afar
ab,abk,abk,abk,Abkhazian,Abcaso
ae,ave,ave,ave,Avestan,Avestico
af,afr,afr,afr,Afrikaans,Afrikaans
ak,aka,aka,aka,Akan,Akan
am,amh,amh,amh,Amharic,Amarico
an,arg,arg,arg,Aragonese,Aragonese
ar,ara,ara,ara,Arabic,Arabo
as,asm,asm,asm,Assamese,Assamese
av,ava,ava,ava,Avaric,Avaro
ay,aym,aym,aym,Aymara,Aymara
az,aze,aze,aze,Azerbaijani,Azero
ba,bak,bak,bak,Bashkir,Baschiro
be,bel,bel,bel,Belarusian,Bielorusso
bg,bul,bul,bul,Bulgarian,Bulgaro
bi,bis,bis,bis,Bislama,Bislama
bm,bam,bam,bam,Bambara,Bambara
bn,ben,ben,ben,Bengali,Bengalese
bo,tib,bod,bod,Tibetan,Tibetano
br,bre,bre,bre,Breton,Bretone
bs,bos,bos,bos,Bosnian,Bosniaco
ca,cat,cat,cat,Catalan; Valencian,Catalano; Valenziano
ce,che,che,che,Chechen,Ceceno
ch,cha,cha,cha,Chamorro,Chamorro
co,cos,cos,cos,Corsican,Corso
cr,cre,cre,cre,Cree,Cree
cs,cze,ces,ces,Czech,Ceco
cu,chu,chu,chu,Church Slavic; Old Slavonic,Slavo ecclesiastico
cv,chv,chv,chv,Chuvash,Ciuvascio
cy,wel,cym,cym,Welsh,Gallese
da,dan,dan,dan,Danish,Danese
de,ger,deu,deu,German,Tedesco
dv,div,div,div,Divehi; Dhivehi; Maldivian,Maldiviano
dz,dzo,dzo,dzo,Dzongkha,Dzongkha
ee,ewe,ewe,ewe,Ewe,Ewe
el,gre,ell,ell,"Greek, Modern (1453-)",Greco
en,eng,eng,eng,English,Inglese
eo,epo,epo,epo,Esperanto,Esperanto
es,spa,spa,spa,Spanish; Castilian,Spagnolo; Castigliano
et,est,est,est,Estonian,Estone
eu,baq,eus,eus,Basque,Basco
fa,per,fas,fas,Persian,Persiano
ff,ful,ful,ful,Fulah,Fula
fi,fin,fin,fin,Finnish,Finlandese
fj,fij,fij,fij,Fijian,Fijiano
fo,fao,fao,fao,Faroese,Faroese
fr,fre,fra,fra,French,Francese
fy,fry,fry,fry,Western Frisian,Frisone occidentale
ga,gle,gle,gle,Irish,Irlandese
gd,gla,gla,gla,Gaelic; Scottish Gaelic,Gaelico scozzese
gl,glg,glg,glg,Galician,Galiziano
gn,grn,grn,grn,Guarani,Guaraní
gu,guj,guj,guj,Gujarati,Gujarati
gv,glv,glv,glv,Manx,Manx
ha,hau,hau,hau,Hausa,Hausa
he,heb,heb,heb,Hebrew,Ebraico
hi,hin,hin,hin,Hindi,Hindi
ho,hmo,hmo,hmo,Hiri Motu,Hiri Motu
hr,hrv,hrv,hrv,Croatian,Croato
ht,hat,hat,hat,Haitian; Haitian Creole,Haitiano
hu,hun,hun,hun,Hungarian,Ungherese
hy,arm,hye,hye,Armenian,Armeno
hz,her,her,her,Herero,Herero
ia,ina,ina,ina,Interlingua,Interlingua
id,ind,ind,ind,Indonesian,Indonesiano
ie,ile,ile,ile,Interlingue; Occidental,Interlingue
ig,ibo,ibo,ibo,Igbo,Igbo
ii,iii,iii,iii,Sichuan Yi; Nuosu,Yi di Sichuan
ik,ipk,ipk,ipk,Inupiaq,Inupiaq
io,ido,ido,ido,Ido,Ido
is,ice,isl,isl,Icelandic,Islandese
it,ita,ita,ita,Italian,Italiano
iu,iku,iku,iku,Inuktitut,Inuktitut
ja,jpn,jpn,jpn,Japanese,Giapponese
jv,jav,jav,jav,Javanese,Giavanese
ka,geo,kat,kat,Georgian,Georgiano
kg,kon,kon,kon,Kongo,Kongo
ki,kik,kik,kik,Kikuyu; Gikuyu,Kikuyu
kj,kua,kua,kua,Kuanyama; Kwanyama,Kwanyama
kk,kaz,kaz,kaz,Kazakh,Kazaco
kl,kal,kal,kal,Kalaallisut; Greenlandic,Groenlandese
km,khm,khm,khm,Central Khmer,Khmer
kn,kan,kan,kan,Kannada,Kannada
ko,kor,kor,kor,Korean,Coreano
kr,kau,kau,kau,Kanuri,Kanuri
ks,kas,kas,kas,Kashmiri,Kashmiri
ku,kur,kur,kur,Kurdish,Curdo
kv,kom,kom,kom,Komi,Komi
kw,cor,cor,cor,Cornish,Cornico
ky,kir,kir,kir,Kirghiz; Kyrgyz,Chirghiso
la,lat,lat,lat,Latin,Latino
lb,ltz,ltz,ltz,Luxembourgish; Letzeburgesch,Lussemburghese
lg,lug,lug,lug,Ganda,Ganda
li,lim,lim,lim,Limburgish; Limburgan; Limburger,Limburghese
ln,lin,lin,lin,Lingala,Lingala
lo,lao,lao,lao,Lao,Lao
lt,lit,lit,lit,Lithuanian,Lituano
lu,lub,lub,lub,Luba-Katanga,Luba-Katanga
lv,lav,lav,lav,Latvian,Lettone
mg,mlg,mlg,mlg,Malagasy,Malagascio
mh,mah,mah,mah,Marshallese,Marshallese
mi,mao,mri,mri,Maori,Maori
mk,mac,mkd,mkd,Macedonian,Macedone
ml,mal,mal,mal,Malayalam,Malayalam
mn,mon,mon,mon,Mongolian,Mongolo
mr,mar,mar,mar,Marathi,Marathi
ms,may,msa,msa,Malay,Malese
mt,mlt,mlt,mlt,Maltese,Maltese
my,bur,mya,mya,Burmese,Birmano
na,nau,nau,nau,Nauru,Nauru
nb,nob,nob,nob,"Bokmål, Norwegian; Norwegian Bokmål",Norvegese Bokmål
nd,nde,nde,nde,"Ndebele, North; North Ndebele",Ndebele del nord
ne,nep,nep,nep,Nepali,Nepalese
